Ticker,QMV($),HQ Location,Sector
ZSU,134683932.4,ON,ETP
ZST,54632500,ON,ETP
ZDY,1243845258,ON,ETP
ZUD,255103600,ON,ETP
ZWH,521543800,ON,ETP
ZPW,133249720,ON,ETP
GBT,481740000,QC,Diversified Industries
BSC,33196852.9,ON,Closed-End Funds
BEI.UN,2054399943,AB,Real Estate
BBD.B,4531289525.13,QC,Diversified Industries
BNP,1119045376,AB,Oil & Gas
BNE,880804023.2,AB,Oil & Gas
BLX,1297418721,QC,Clean Technology
BPF.UN,445279082.9,BC,Diversified Industries
BYD.UN,1648835639,MB,Diversified Industries
BBL.A,83982641.76,ON,Diversified Industries
HBL.UN,10224935.37,ON,Closed-End Funds
HBF,31050822.28,ON,ETP
BRY,7798883.73,AB,Diversified Industries
BRB,111268806.9,ON,Diversified Industries
LCS,86988230.1,ON,Closed-End Funds
OSP,53359385.8,ON,Closed-End Funds
SBC,166631043.36,ON,Closed-End Funds
BAM.A,47593299817.25,ON,Financial Services
BOX.UN,691636219.8,ON,Real Estate
BGI.UN,236530965,ON,Closed-End Funds
BHY.UN,94998750,ON,Closed-End Funds
BPS.PR.U,90259165.35,ON,Closed-End Funds
BRE,147948060,ON,Real Estate
BEP.UN,6953058782.4,QC,Clean Technology
BRF.PR.C,620117942.7,ON,Clean Technology
BSO.UN,106740324,ON,Closed-End Funds
BSE.UN,7652435.7,ON,Closed-End Funds
BSD.UN,24262862.96,ON,Closed-End Funds
DOO,765649746.8,QC,Diversified Industries
GPS,101566418.5,ON,Technology
BTB.UN,210783108.7,QC,Real Estate
BUI,120000000,MB,Diversified Industries
BU,97823407.5,BC,Clean Technology
CAE,5319012655,QC,Technology
CWL,19123074.4,ON,Diversified Industries
UDA.UN,49776000,ON,Closed-End Funds
CAL,76006691.6,ON,Mining
CFW,382568469.4,AB,Diversified Industries
CGY,185593255.2,ON,Technology
CBL,884927927.9,ON,Financial Services
CCO,4891995572,SK,Mining
CF,561927108,BC,Financial Services
CNE,785213193.2,AB,Oil & Gas
CPF.UN,32580417.6,ON,Closed-End Funds
CAR.UN,4130616267,ON,Real Estate
BK,177121237.5,ON,Closed-End Funds
CCI.UN,26480203,ON,Closed-End Funds
CCX,15800000,AB,ETP
CEU,1829140635,AB,Diversified Industries
CGI,461826942.7,ON,Financial Services
CIQ.UN,29520705.9,ON,Closed-End Funds
CM,42867931080,ON,Financial Services
LFE,234466821.7,ON,Closed-End Funds
CNR,68886945440,QC,Diversified Industries
GAS,10803750,AB,ETP
CNQ,50119990457,AB,Oil & Gas
CP,30076672234,AB,Diversified Industries
PFT.UN,66292908.8,ON,Closed-End Funds
REF.UN,3316957924,ON,Real Estate
RTU.UN,13475100,ON,Closed-End Funds
CTC.A,10182143231,ON,Diversified Industries
UTE.UN,33430707,ON,Closed-End Funds
CU,10737318972,AB,Utilities & Pipelines
CWB,2810374979,AB,Financial Services
CWF,33433923.15,ON,Financial Services
CZN,69998555.43,BC,Mining
CAM,448385923.2,QC,Diversified Industries
CCM,19547063.73,BC,Mining
DNT,17182698.75,BC,Mining
CUS,535369908.9,AB,Diversified Industries
CFP,1950898737,BC,Forest Products & Paper
CFX,668327667.4,BC,Forest Products & Paper
ICE,44012096.7,BC,Real Estate
EIT.UN,1119376794,AB,Closed-End Funds
CGC,1371364022,ON,Life Sciences
PBY.UN,180798361.8,ON,Closed-End Funds
SCW.UN,52426818.4,ON,Closed-End Funds
CWX,349794576.6,BC,Diversified Industries
FRC,469922755.1,AB,Diversified Industries
CPX,2748583232,AB,Utilities & Pipelines
CSE.PR.A,35100000,ON,Clean Technology
CS,402538711.1,BC,Mining
CARA,611601499.2,ON,Diversified Industries
CJ,764334480.1,AB,Oil & Gas
COM,113160804.7,BC,Life Sciences
CJT,797738157.2,ON,Diversified Industries
CMH,97584515.28,BC,Clean Technology
CAS,1104784866,QC,Clean Technology
CYT,11767332.51,BC,Clean Technology
CET,13429290.6,AB,Diversified Industries
CCL.B,8230935790,ON,Diversified Industries
CLS,1985750059,ON,Technology
CVE,17305451655,AB,Oil & Gas
CG,2020958140,ON,Mining
CEF.A,3999904245,AB,Closed-End Funds
CHH,108925004.86,ON,Life Sciences
CNT,12843164.23,ON,Mining
CQE,63837249.58,AB,Oil & Gas
CRP,140348339.1,ON,Closed-End Funds
CVL,286075525.8,AB,Diversified Industries
GIB.A,17313654280,QC,Technology
CSH.UN,2780826297,ON,Real Estate
CHE.UN,1611675418.9,ON,Diversified Industries
CHW,209018237,ON,Diversified Industries
CKE,106056988.7,AB,Oil & Gas
CHP.UN,1197753375,ON,Real Estate
CHR,804289172.3,NS,Diversified Industries
CIX,7128355539,ON,Financial Services
MBA,32915447.96,BC,Diversified Industries
CGX,3307386305,ON,Comm & Media
CPH,102192218.7,ON,Life Sciences
CTF.UN,70086267.2,AB,Closed-End Funds
CVG,450899685.6,ON,Financial Services
CKI,136947426,NS,Diversified Industries
CSM,20692948.92,AB,Diversified Industries
CLR,787036132.4,NS,Clean Technology
CCS.PR.C,93200000,ON,Financial Services
CCA,2173627072,QC,Comm & Media
CGO,822577981.4,QC,Comm & Media
GCL,188658808.2,QC,Diversified Industries
CIGI,1772087940,ON,Real Estate
CGT,80035248.16,BC,Mining
CUF.UN,2537980620,QC,Real Estate
YCM,19296966.88,ON,Closed-End Funds
CMZ.UN,61484106,ON,Closed-End Funds
CMG,697792550.4,AB,Technology
CXR,175498493.8,ON,Life Sciences
CPI,88693455,AB,Oil & Gas
CFF,63567699,BC,Forest Products & Paper
CXA.B,20370107.34,ON,Real Estate
CSU,13608292366.3,ON,Technology
CNL,474458305.8,ON,Mining
CZQ,3102327.44,ON,Mining
CUM,103262973.1,BC,Mining
CSW.A,628441378.8,ON,Diversified Industries
CDD.UN,5230210.5,ON,Closed-End Funds
COP,62426305.2,BC,Mining
CDH,36335006.06,NS,Oil & Gas
CJR.B,2364627925,ON,Comm & Media
KOR,64658707.4,BC,Mining
PATH,11841304.8,BC,Technology
CPG,9257592237,AB,Oil & Gas
CTX,19091817.21,ON,Life Sciences
CR,1069576619,AB,Oil & Gas
CRH,535212414.8,BC,Life Sciences
CCZ,7554986.27,AB,Technology
CRR.UN,1346183963,NS,Real Estate
